ground_truth, iters1, iters2, iters3, iters4, iters5, iters6, iters7, iters8, iters9, iters10, iters11, iters12, iters13, iters14, iters15, iters16, iters17, iters18, iters19, iters20, iters21, iters22, iters23, iters24, iters25
0, 18, 5, 21, 15, 9, 7, 4, 10, 2, 7, 10, 2, 0, 0, 20, 4, 0, 0, 7, 20, 7, 7, 0, 18, 18
0, 2, 17, 17, 0, 12, 0, 21, 19, 0, 0, 0, 15, 7, 18, 16, 15, 15, 0, 7, 18, 15, 13, 18, 0, 0
0, 3, 5, 13, 4, 4, 9, 7, 18, 0, 4, 18, 10, 0, 6, 4, 21, 18, 4, 0, 0, 15, 0, 18, 0, 0
0, 4, 2, 15, 10, 21, 7, 16, 13, 2, 0, 4, 15, 4, 2, 0, 0, 0, 2, 4, 0, 15, 4, 0, 0, 2
0, 10, 18, 0, 18, 16, 12, 4, 4, 4, 4, 2, 0, 4, 21, 0, 12, 0, 0, 0, 21, 2, 13, 2, 7, 7
0, 21, 21, 21, 15, 18, 22, 4, 18, 18, 2, 21, 21, 0, 16, 15, 0, 0, 7, 21, 0, 18, 0, 0, 21, 0
0, 2, 4, 5, 0, 21, 16, 20, 21, 10, 21, 0, 15, 0, 15, 7, 0, 7, 4, 20, 4, 0, 21, 0, 4, 0
0, 14, 4, 9, 21, 12, 4, 4, 12, 21, 0, 0, 0, 4, 7, 4, 0, 0, 0, 0, 15, 21, 0, 0, 2, 2
0, 18, 0, 18, 19, 19, 4, 15, 18, 21, 7, 15, 20, 18, 4, 0, 20, 20, 15, 0, 18, 0, 16, 0, 0, 10
0, 5, 13, 22, 20, 21, 13, 0, 18, 4, 0, 0, 18, 10, 16, 0, 18, 18, 0, 13, 18, 0, 7, 20, 4, 0
0, 8, 13, 4, 18, 0, 4, 4, 0, 0, 0, 0, 5, 7, 4, 7, 10, 7, 0, 0, 0, 18, 0, 0, 0, 0
0, 8, 20, 21, 4, 16, 0, 7, 10, 20, 12, 8, 0, 16, 7, 15, 0, 0, 0, 7, 7, 15, 0, 21, 20, 16
0, 23, 2, 12, 19, 13, 18, 4, 21, 0, 12, 18, 7, 13, 15, 2, 18, 7, 4, 0, 0, 7, 0, 0, 0, 0
0, 16, 13, 12, 5, 4, 18, 19, 15, 4, 0, 4, 15, 7, 20, 4, 2, 18, 4, 7, 0, 20, 18, 0, 0, 0
0, 17, 4, 4, 16, 18, 4, 0, 4, 13, 18, 4, 4, 7, 13, 4, 2, 18, 0, 0, 0, 0, 0, 4, 0, 0
1, 5, 14, 21, 13, 5, 1, 19, 19, 19, 2, 11, 1, 17, 9, 1, 17, 1, 2, 19, 2, 19, 1, 1, 1, 1
1, 20, 15, 21, 22, 20, 23, 11, 14, 9, 11, 14, 19, 1, 5, 1, 6, 1, 1, 1, 1, 1, 22, 1, 1, 9
1, 11, 14, 21, 13, 3, 20, 8, 5, 14, 15, 19, 11, 6, 1, 11, 17, 1, 1, 9, 5, 1, 15, 17, 15, 6
1, 2, 22, 11, 11, 8, 1, 1, 9, 22, 12, 1, 9, 17, 1, 1, 1, 1, 6, 1, 9, 5, 1, 19, 5, 19
1, 18, 7, 11, 15, 1, 8, 11, 1, 14, 1, 1, 1, 17, 9, 1, 9, 8, 1, 1, 1, 1, 9, 9, 8, 9
1, 5, 20, 8, 14, 1, 2, 14, 5, 6, 11, 2, 1, 1, 1, 11, 9, 2, 1, 5, 1, 19, 6, 1, 1, 1
1, 16, 1, 1, 1, 10, 5, 5, 5, 11, 19, 9, 1, 12, 1, 1, 1, 1, 1, 9, 1, 1, 9, 1, 1, 1
1, 14, 21, 1, 12, 8, 11, 23, 1, 6, 6, 13, 1, 6, 9, 9, 11, 6, 1, 1, 8, 1, 14, 1, 1, 1
1, 1, 12, 5, 11, 15, 14, 2, 15, 8, 20, 19, 9, 1, 1, 14, 6, 19, 1, 1, 1, 19, 14, 1, 8, 1
1, 1, 1, 7, 8, 11, 9, 15, 7, 19, 9, 19, 23, 5, 19, 1, 6, 1, 23, 5, 1, 1, 19, 22, 11, 2
1, 3, 23, 19, 14, 8, 11, 14, 1, 1, 17, 8, 1, 9, 1, 14, 6, 1, 1, 1, 9, 1, 19, 19, 6, 1
1, 16, 1, 10, 6, 8, 17, 1, 13, 5, 1, 1, 1, 5, 11, 11, 5, 1, 1, 8, 9, 1, 1, 1, 1, 9
1, 22, 5, 14, 16, 1, 1, 9, 19, 11, 11, 1, 9, 1, 1, 1, 1, 2, 19, 1, 9, 1, 1, 8, 6, 1
1, 11, 19, 22, 1, 19, 9, 1, 19, 2, 1, 1, 1, 14, 13, 8, 1, 1, 1, 1, 9, 1, 14, 11, 1, 15
1, 11, 0, 14, 11, 9, 19, 7, 1, 9, 3, 11, 8, 1, 1, 14, 8, 14, 9, 1, 1, 1, 1, 1, 6, 1
2, 22, 0, 0, 9, 12, 16, 4, 20, 2, 7, 12, 9, 6, 12, 7, 0, 2, 15, 7, 2, 7, 2, 2, 19, 21
2, 16, 4, 21, 10, 1, 20, 4, 7, 16, 6, 15, 6, 0, 7, 5, 5, 0, 2, 0, 2, 15, 7, 19, 2, 15
2, 4, 21, 9, 21, 15, 17, 4, 12, 2, 20, 20, 1, 6, 15, 19, 9, 2, 0, 15, 19, 0, 15, 2, 2, 21
2, 20, 3, 4, 18, 9, 18, 23, 9, 2, 7, 22, 9, 10, 23, 9, 15, 2, 19, 5, 7, 20, 2, 20, 20, 15
2, 21, 19, 2, 1, 15, 7, 20, 0, 15, 20, 16, 19, 19, 15, 0, 12, 10, 0, 2, 13, 12, 19, 19, 12, 2
2, 10, 12, 16, 12, 20, 4, 13, 1, 22, 12, 7, 20, 15, 15, 2, 20, 2, 12, 0, 5, 2, 20, 2, 2, 2
2, 13, 16, 13, 21, 0, 9, 14, 22, 2, 19, 13, 19, 15, 9, 20, 8, 20, 7, 20, 0, 5, 10, 0, 2, 10
2, 0, 16, 6, 4, 6, 6, 7, 2, 12, 19, 12, 7, 7, 5, 2, 15, 2, 7, 5, 2, 12, 9, 2, 10, 2
2, 4, 4, 19, 4, 21, 18, 13, 9, 0, 7, 8, 2, 2, 19, 10, 19, 18, 6, 0, 2, 20, 2, 15, 5, 2
2, 1, 11, 12, 15, 2, 1, 19, 7, 18, 2, 8, 7, 21, 15, 7, 2, 2, 19, 2, 15, 19, 4, 12, 19, 0
2, 4, 16, 7, 16, 9, 18, 16, 7, 9, 5, 9, 1, 6, 7, 6, 12, 19, 2, 2, 6, 20, 2, 7, 2, 2
2, 14, 2, 8, 7, 5, 4, 12, 12, 0, 20, 7, 0, 12, 2, 22, 2, 5, 15, 2, 7, 0, 20, 2, 6, 9
2, 14, 8, 4, 20, 5, 2, 18, 19, 22, 15, 20, 2, 2, 21, 8, 12, 2, 8, 9, 12, 20, 15, 2, 0, 5
2, 15, 11, 13, 4, 21, 6, 5, 9, 12, 9, 9, 15, 2, 9, 0, 6, 10, 0, 2, 2, 5, 20, 19, 2, 22
2, 9, 15, 18, 18, 4, 9, 0, 16, 13, 12, 15, 6, 2, 8, 2, 1, 19, 5, 2, 9, 15, 20, 7, 20, 2
3, 3, 3, 6, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 3, 3, 17, 11, 3, 3, 3, 14, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 23, 6, 23, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 14, 11, 3, 3, 8, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 3, 11, 3, 3, 3, 3, 3, 3, 3, 3, 3, 23, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
3, 14, 3, 3, 3, 3, 3, 14, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3
